Predicted,Classes,New Predicted,question_description,
Hair Treatment,Hair Treatment,Hair Treatment,I loss my hair... how to growth a hair... ,
Diet and Food,Diet and Food,Diet and Food,what is diet recommendations for healthy bones,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,how to decrease the regular stress,
Hair Treatment,Hair Treatment,Hair Treatment,I have lot's of unwanted hair on my hand and lags. I want to remove it,
Others,Diabetes,General Problems,Is loss of appetite is side effect of antidiabetics???  what should be probable solution on this? ,
Diabetes,Diabetes,Diabetes,what should be Diet plan for type ll diabetes in men? ,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat","Is there any treatment for regaining of lost speech, after an attack of paralysis? ",
Dental,Dental,Dental,What are the reasons for yellow teeth and care to be taken for getting back white teeth? ,
Diabetes,Diabetes,Diabetes,Precautions to avoid type 2 diabetes?,
Skin,Skin,Skin,How to manage acne the natural way?,
Diabetes,Diabetes,Diabetes,Precautions to avoid type 2 diabetes?,
Others,Eyes,Eyes,What is the possible solution for dry eyes?,
Body Pain,Dental,Body Pain,"I have toothache from few days, how to get rid of pain? ",
Weight Gain,Weight Gain,Weight Gain,what is a diet for increasing weight? ,
Body Pain,Body Pain,Body Pain,I have severe back pain. How to get rid of back pain? ,
Headache,Headache,Headache,How to lower the intensity of migraine headache?,
Weight Gain,Weight Gain,Weight Gain,How to gain weight naturally? ,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",how to get rid from sinus problem?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,What is the best way to relieve boredom and stress after retirement? ,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,What are the symptoms of lung cirrhosis?,
Others,Critical,Critical,What are the precautions to be taken in menopause stage?,
Others,General Problems,General Problems,what can be the best way to keep us hydrated in summer?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,how to reduce stress in women ? ,
Skin,Skin,Skin,How to get rid of skin pores ?,
Others,"Ear, Nose and Throat","Ear, Nose and Throat","Even after 30 minutes of pouring the ear drop solution when I tilt my head, the liquid flows out of my ear. As if it is not entering into the ear canal at all and just pooling there itself. What would be the reason? I started using it because I was feeling some uneasy(airtight, unable to listen clearly) in my left ear since last two day. ",
Critical,Critical,Critical,I have a severe spine problem. can you help? ,
Diet and Food,Diet and Food,Diet and Food,Is that Red Wine good health? What is advantages and disadvantages? ,
Diet and Food,Diet and Food,Others,"<p>What are the benefits of having beetroot and beetroot juice, Can I have it everyday?</p>",
Hair Treatment,Hair Treatment,Hair Treatment,how to control hair fall in women? ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","how can I get rid of acidity? 
",
Sexual Problem,Sexual Problem,Sexual Problem,My sister is 8 months pregnant and is having severe tooth ache since few days. Is it okay if she takes antibiotics and pain killers? Is it okay if she gets the cavities filled now? ,
Stress and Anxiety,Stress and Anxiety,General Problems,Can anxiety cause heart problems?,
Skin,Skin,Skin,how to get rid of large skin pores after acne?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,"I feel tired at the end of the day please give salutation 
",
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How do I reduce my stress and anxiety levels?,
Gym,Gym,Gym,Can rheumatoid arthritis treated ?,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",what does it mean when blood comes out of your nose? ,
General Problems,Sexual Problem,General Problems,how to get rid of amentia in women ??,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",What does it mean when blood comes out of your ear? ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,I'm suffering with severe depression ,
Others,Eyes,Eyes,I have itchy eyes.  can you please help? ,
Dental,Dental,Dental,"If teeth is completely broken and falls off, should it be preserved re-implantation or you will put a new teeth? @ Priya dental ",
Critical,Critical,"Stomach, Kidney and Liver",Nerve problem ,
Skin,Skin,Skin,How to get fair skin tone permanently in women ? ,
General Problems,Sexual Problem,General Problems,how to get rid of insomnia in women?,
General Problems,Sexual Problem,General Problems,pcod can be treated in women ???? ,
Weight Gain,Weight Gain,Weight Gain,How To increase appetite in women? ,
Headache,Headache,Headache,how to get rid of headache in women ? ,
Weight Loss,Weight Loss,Weight Loss,How to reduce weight without doing exercise?,
Weight Loss,Weight Loss,Weight Loss,How to get rid from belly fat ..?,
Others,Gym,Others,I get cramps often. how can I prevent frequent cramps? ,
General Problems,Sexual Problem,Sexual Problem,How to control Premenstrual syndrome (PMS) ?,
Weight Loss,Weight Loss,Weight Loss,How to reduce weight ,
Skin,Skin,Skin,How to get rid of acne problem?,
Others,General Problems,General Problems,what can be the side effects of long term use of ayurveda??,
Weight Loss,Weight Loss,Weight Loss,How to reduce weight,
Others,Hair Treatment,Hair Treatment,How to prevent greying of hairs?,
General Problems,General Problems,General Problems,How to get rid of Sleep disorder?,
Skin,Skin,Skin,What is the best way to avoid sun tan? ,
Eyes,Eyes,Eyes,What are some good fruits for healthy eye? ,
Hair Treatment,Hair Treatment,Hair Treatment,"how to control hair fall in women 
",
